"Fecha";Local;Visita;Distancia
"33";"Deportes La Serena";"Universidad Católica";"8208.24"
"33";"Deportes La Serena";"Universidad Católica";"8222.85"
"33";"Deportes La Serena";"Universidad Católica";"8226.56"
"33";"Deportes La Serena";"Universidad Católica";"8220.18"
"33";"Deportes La Serena";"Universidad Católica";"8218.39"
"33";"Deportes La Serena";"Universidad Católica";"8259.52"
"33";"Deportes La Serena";"Universidad Católica";"8304.74"
"33";"Coquimbo Unido";"Everton";"8294.95"
"34";"Coquimbo Unido";"Everton";"8504.4"
"34";"Coquimbo Unido";"Everton";"8510.56"
"34";"Huachipato";"Curicó Unido";"8307.72"
"34";"Universidad de Concepción";"O'Higgins";"8246.41"
"34";"Universidad de Concepción";"O'Higgins";"8219.71"
"34";"Universidad de Concepción";"O'Higgins";"8208.24"
"34";"Deportes La Serena";"Unión Española";"8222.85"
"34";"Deportes Antofagasta";"Palestino";"8226.56"
"34";"Cobresal";"Colo-Colo";"8220.18"
"34";"Cobresal";"Colo-Colo";"8218.39"
"34";"Deportes Iquique";"Unión La Calera";"8259.52"
"34";"Deportes Iquique";"Unión La Calera";"8304.74"
